temperature;gas;humidity;barometer;IAQ;IAQ_S;VOCS;accuracy
30.01;125653.00;35.00;1000.72;39;46;0.68;3
30.01;124814.00;35.00;1000.72;39;46;0.68;3
30.01;125747.00;35.00;1000.70;39;46;0.68;3
30.02;124907.00;35.00;1000.70;39;46;0.68;3
30.02;124907.00;35.00;1000.70;40;46;0.69;3
30.02;125093.00;35.00;1000.70;40;46;0.69;3
30.03;126314.00;35.00;1000.72;40;46;0.69;3
30.03;124814.00;35.00;1000.72;39;46;0.68;3
30.03;126504.00;35.00;1000.70;39;46;0.68;3
30.04;125653.00;35.00;1000.70;39;46;0.68;3
30.04;125747.00;35.00;1000.70;39;45;0.68;3
30.05;125936.00;35.00;1000.70;39;45;0.68;3
30.05;125093.00;35.00;1000.72;39;45;0.68;3
30.05;124999.00;35.00;1000.72;40;46;0.69;3
30.05;126409.00;35.00;1000.70;40;46;0.69;3
30.06;126409.00;35.00;1000.70;40;46;0.69;3
30.06;125842.00;35.00;1000.70;39;45;0.67;3
30.06;124537.00;35.00;1000.69;39;45;0.67;3
30.07;124260.00;35.00;1000.72;39;45;0.67;3
30.07;125186.00;35.00;1000.70;38;44;0.67;3
30.08;125186.00;35.00;1000.70;38;44;0.67;3
30.08;125093.00;35.00;1000.69;38;44;0.67;3
30.07;125466.00;35.00;1000.69;39;45;0.67;3
30.09;124721.00;35.00;1000.69;39;45;0.67;3
30.09;124999.00;35.00;1000.70;39;45;0.67;3
30.09;125372.00;35.00;1000.70;38;44;0.66;3
30.09;125560.00;35.00;1000.69;38;44;0.66;3
30.09;123894.00;35.00;1000.66;38;44;0.66;3
30.10;125186.00;35.00;1000.66;38;44;0.67;3
30.09;125560.00;35.00;1000.66;38;44;0.67;3
30.11;125186.00;35.00;1000.69;38;44;0.67;3
30.11;123621.00;35.00;1000.66;38;45;0.67;3
30.10;124814.00;35.00;1000.66;38;45;0.67;3
30.11;124260.00;35.00;1000.66;38;45;0.67;3
30.11;125279.00;35.00;1000.65;39;46;0.68;3
30.12;125279.00;35.00;1000.65;39;46;0.68;3
30.12;125279.00;35.00;1000.62;39;46;0.68;3
30.12;125466.00;35.00;1000.62;39;46;0.68;3
30.13;124999.00;35.00;1000.65;39;46;0.68;3
30.14;125093.00;35.00;1000.65;39;46;0.68;3
30.14;124721.00;35.00;1000.62;39;46;0.68;3
30.14;123803.00;35.00;1000.62;39;46;0.68;3
30.14;123168.00;35.00;1000.62;39;46;0.68;3
30.15;124352.00;35.00;1000.65;39;46;0.68;3
30.15;124999.00;35.00;1000.62;39;46;0.68;3
30.15;124169.00;35.00;1000.62;39;46;0.68;3
30.15;124077.00;35.00;1000.62;39;45;0.68;3
30.16;123985.00;35.00;1000.65;39;45;0.68;3
30.16;123894.00;35.00;1000.62;39;45;0.68;3
30.16;125372.00;35.00;1000.62;39;46;0.68;3
30.16;123803.00;35.00;1000.62;39;46;0.68;3
30.16;123985.00;35.00;1000.60;39;46;0.68;3
30.16;124907.00;35.00;1000.60;41;48;0.71;3
30.16;124260.00;35.00;1000.62;41;48;0.71;3
30.17;123530.00;35.00;1000.62;41;48;0.71;3
30.17;124260.00;35.00;1000.62;40;47;0.70;3
30.17;123621.00;35.00;1000.62;40;47;0.70;3
30.17;123894.00;35.00;1000.60;40;47;0.70;3
30.17;123349.00;35.00;1000.60;41;48;0.70;3
30.17;124907.00;35.00;1000.60;41;48;0.70;3
30.18;123803.00;35.00;1000.60;41;48;0.70;3
30.18;123803.00;35.00;1000.60;41;48;0.71;3
30.18;123439.00;35.00;1000.60;41;48;0.71;3
30.18;123349.00;35.00;1000.60;41;48;0.71;3
30.18;123258.00;35.00;1000.60;41;49;0.72;3
30.18;123894.00;35.00;1000.60;41;49;0.72;3
30.18;122629.00;35.00;1000.60;41;49;0.72;3
30.18;123530.00;35.00;1000.60;41;49;0.72;3
30.19;123439.00;35.00;1000.62;41;49;0.72;3
30.19;123258.00;35.00;1000.62;41;49;0.72;3
