;temperatureEreignis;gasEreignis;humidityEreignis;barometerEreignis
488;29,95;51499;37;999,13
489;29,95;51123;37;999,13
490;29,95;51154;37;999,12
491;29,96;51154;37;999,09
492;29,96;51626;37;999,12
493;29,96;51373;37;999,13
494;29,97;51436;37;999,09
495;29,96;51342;37;999,09
496;29,97;51594;37;999,13
497;29,97;51562;37;999,13
498;29,97;51373;37;999,13
499;29,97;51405;37;999,13
500;29,97;51436;37;999,12
501;29,97;51562;37;999,12
502;29,97;51531;37;999,09
503;29,98;51689;37;999,12
504;29,98;51657;37;999,12
505;29,98;51626;37;999,09
506;29,98;51817;37;999,16
507;29,99;51721;37;999,16
508;29,99;51817;37;999,09
509;29,99;51689;37;999,16
510;30;52073;37;999,16
511;30;51977;37;999,13
512;30;51945;36;999,13
513;30;52009;36;999,13
514;30;51977;36;999,16
515;30;51753;37;999,13
516;30,01;52041;36;999,13
517;30;51881;36;999,13
518;30,01;52300;36;999,17
519;30,01;52073;36;999,16
520;30,01;51626;36;999,16
521;30,01;52170;36;999,16
522;30,02;52333;36;999,16
523;30,02;52333;36;999,2
524;30,02;52170;36;999,2
525;30,02;52203;36;999,2
526;30,02;52268;36;999,16
527;30,03;51945;36;999,2
528;30,03;51945;36;999,2
529;30,02;52300;36;999,2
530;30,03;52235;36;999,2
531;30,03;52138;36;999,21
532;30,04;52431;36;999,2
533;30,03;52365;36;999,2
534;30,04;52073;36;999,21
535;30,04;52138;36;999,2
536;30,05;52170;36;999,23
537;30,05;52496;36;999,2
538;30,05;52365;36;999,23
539;30,05;52464;36;999,21
540;30,05;52496;36;999,21
541;30,05;52529;36;999,21
542;30,06;52595;36;999,2
543;30,06;52365;36;999,2
544;30,06;52661;36;999,2
545;30,07;52727;36;999,21
546;30,07;52333;36;999,21
547;30,07;52727;36;999,2
548;30,08;52859;36;999,2
549;30,07;52106;36;999,2
550;30,08;52893;36;999,2
551;30,08;52694;36;999,2
552;30,09;52268;36;999,2
553;30,07;52661;36;999,2
554;30,08;52826;36;999,2
555;30,09;52628;36;999,23
556;30,09;52529;36;999,21
557;30,09;52661;36;999,21
558;30,09;52431;36;999,21
559;30,1;52562;36;999,23
560;30,1;53060;36;999,21
561;30,1;53026;36;999,2
562;30,11;52993;36;999,2
563;30,1;52365;36;999,2
564;30,11;52595;36;999,21
565;30,11;52661;36;999,21
566;30,11;52959;36;999,2
567;30,11;52859;36;999,2
568;30,11;53127;36;999,2
569;30,12;53635;36;999,2
570;30,12;53127;36;999,17
571;30,12;52562;36;999,16
572;30,12;53060;36;999,16
573;30,12;53026;36;999,16
574;30,13;53228;36;999,17
575;30,13;52529;36;999,17
576;30,13;52993;36;999,17
577;30,13;52893;36;999,17
578;30,13;53397;36;999,17
579;30,14;53397;36;999,17
580;30,14;52993;36;999,17
581;30,14;53261;36;999,17
582;30,15;53329;36;999,2
583;30,14;53329;36;999,2
584;30,15;53093;36;999,17
585;30,15;53093;36;999,16
586;30,15;53533;36;999,16
587;30,15;53228;36;999,13
588;30,15;53295;36;999,13
589;30,16;53363;36;999,13
590;30,16;53329;36;999,13
591;30,16;53533;36;999,13
592;30,16;53363;36;999,12
593;30,17;53533;36;999,13
594;30,17;53397;36;999,16
595;30,17;53499;36;999,17
596;30,17;53261;36;999,16
597;30,17;53704;36;999,13
598;30,17;53160;36;999,16
599;30,18;53431;36;999,13
600;30,18;53465;36;999,13
601;30,18;53397;36;999,13
602;30,18;53228;36;999,16
603;30,18;53465;36;999,16
604;30,18;53499;36;999,13
605;30,19;53807;36;999,17
606;30,19;53601;36;999,16
607;30,19;53533;36;999,13
608;30,19;53601;36;999,13
609;30,19;53773;36;999,16
610;30,2;53329;36;999,13
611;30,2;53807;36;999,13
612;30,2;53945;36;999,13
613;30,19;53807;36;999,13
614;30,2;53670;36;999,12
615;30,21;53363;36;999,16
616;30,2;53261;36;999,12
617;30,21;53773;36;999,16
618;30,21;53499;36;999,16
619;30,21;53876;36;999,16
620;30,21;53842;36;999,16
621;30,22;53842;36;999,13
622;30,21;53807;36;999,16
623;30,22;53807;36;999,16
624;30,22;53911;36;999,16
625;30,23;54540;36;999,16
626;30,22;54154;36;999,13
627;30,23;54119;36;999,16
628;30,23;53807;36;999,13
629;30,23;53842;36;999,13
630;30,23;54015;36;999,16
631;30,24;53876;36;999,12
632;30,24;54049;36;999,12
633;30,24;54647;36;999,12
634;30,24;53911;36;999,12
635;30,24;54224;36;999,12
636;30,25;54364;36;999,12
637;30,25;53945;36;999,13
638;30,24;54154;36;999,12
639;30,25;54364;36;999,12
640;30,26;53738;36;999,12
641;30,26;54399;36;999,12
642;30,26;54861;36;999,09
643;30,26;54224;36;999,09
644;30,26;54294;36;999,12
645;30,26;53945;36;999,13
646;30,27;54329;36;999,12
647;30,27;54224;36;999,13
648;30,27;54015;36;999,12
649;30,27;54294;36;999,12
650;30,26;54789;36;999,12
651;30,27;54154;36;999,12
652;30,28;54294;36;999,12
653;30,28;54576;36;999,12
654;30,28;54576;36;999,09
655;30,28;54364;36;999,12
656;30,28;54399;36;999,12
657;30,28;54434;36;999,12
658;30,28;54364;36;999,09
659;30,29;54434;36;999,13
660;30,29;54434;36;999,13
661;30,28;54259;36;999,12
662;30,28;54470;36;999,12
663;30,29;54470;36;999,12
664;30,29;55149;36;999,09
665;30,3;54682;36;999,12
666;30,3;54399;36;999,12
667;30,3;54682;36;999,12
668;30,3;54505;36;999,09
669;30,3;54897;36;999,12
670;30,3;54789;36;999,13
671;30,31;54470;36;999,13
672;30,31;54718;36;999,13
673;30,31;54611;36;999,13
674;30,3;54682;36;999,12
675;30,31;55149;36;999,13
676;30,32;54753;36;999,12
677;30,31;54647;36;999,12
678;30,32;54861;36;999,12
679;30,32;54611;36;999,12
680;30,32;54861;36;999,12
681;30,32;54611;36;999,16
682;30,33;54576;36;999,13
683;30,33;54682;36;999,13
684;30,33;55294;36;999,13
685;30,33;54576;36;999,13
686;30,32;55221;36;999,13
687;30,34;54647;36;999,13
688;30,33;54932;36;999,13
689;30,34;55294;36;999,12
690;30,34;54647;36;999,12
691;30,34;54932;36;999,12
692;30,34;54789;36;999,12
693;30,34;54861;36;999,12
694;30,35;54682;36;999,13
695;30,34;54753;36;999,13
696;30,35;55113;36;999,16
697;30,35;55113;36;999,13
698;30,34;55113;36;999,13
699;30,35;55149;36;999,13
700;30,36;55076;36;999,13
701;30,36;55294;36;999,13
702;30,36;54861;36;999,13
703;30,36;54861;36;999,13
704;30,36;55076;36;999,12
705;30,36;54682;36;999,13
706;30,36;55257;36;999,12
707;30,36;55257;36;999,12
708;30,37;54968;36;999,13
709;30,36;55004;36;999,13
710;30,36;55076;36;999,12
711;30,36;55185;36;999,13
712;30,37;55623;36;999,13
713;30,38;55221;36;999,12
714;30,38;55440;36;999,12
715;30,38;55221;36;999,12
716;30,38;55149;36;999,12
717;30,38;55294;36;999,12
718;30,38;55550;36;999,09
719;30,38;55294;36;999,12
720;30,38;55367;36;999,09
721;30,39;55808;35;999,12
722;30,38;55882;35;999,12
723;30,39;55294;35;999,13
724;30,39;55257;35;999,13
725;30,39;55221;36;999,12
726;30,39;55623;35;999,12
727;30,39;55771;35;999,12
728;30,4;55660;35;999,12
729;30,4;55550;35;999,12
730;30,4;55808;35;999,12
731;30,4;55294;35;999,09
732;30,4;55586;35;999,09
733;30,41;55697;35;999,12
