;temperatureEreignis;;gasEreignis;;humidityEreignis;;barometerEreignis
12274;28,61;12274;93282;12274;40;12274;1003,11
12275;28,62;12275;93698;12275;40;12275;1003,09
12276;28,61;12276;93593;12276;40;12276;1003,09
12277;28,61;12277;92870;12277;40;12277;1003,09
12278;28,62;12278;93282;12278;40;12278;1003,11
12279;28,62;12279;93802;12279;40;12279;1003,09
12280;28,62;12280;93385;12280;40;12280;1003,09
12281;28,62;12281;93178;12281;40;12281;1003,11
12282;28,62;12282;93802;12282;40;12282;1003,11
12283;28,62;12283;93593;12283;40;12283;1003,09
12284;28,62;12284;93489;12284;40;12284;1003,09
12285;28,62;12285;93698;12285;40;12285;1003,09
12286;28,62;12286;93802;12286;40;12286;1003,09
12287;28,62;12287;92870;12287;40;12287;1003,09
12288;28,61;12288;93593;12288;40;12288;1003,11
12289;28,62;12289;93075;12289;40;12289;1003,09
12290;28,62;12290;94118;12290;40;12290;1003,11
12291;28,62;12291;93593;12291;40;12291;1003,09
12292;28,62;12292;93075;12292;40;12292;1003,09
12293;28,62;12293;93698;12293;40;12293;1003,09
12294;28,61;12294;93075;12294;40;12294;1003,11
12295;28,62;12295;93075;12295;40;12295;1003,09
12296;28,62;12296;93282;12296;40;12296;1003,09
12297;28,62;12297;93593;12297;40;12297;1003,09
12298;28,62;12298;93178;12298;40;12298;1003,11
12299;28,61;12299;92767;12299;40;12299;1003,11
12300;28,62;12300;93593;12300;40;12300;1003,11
12301;28,62;12301;93593;12301;40;12301;1003,11
12302;28,62;12302;93698;12302;40;12302;1003,09
12303;28,61;12303;93075;12303;40;12303;1003,11
12304;28,61;12304;93698;12304;40;12304;1003,09
12305;28,62;12305;93907;12305;40;12305;1003,09
12306;28,62;12306;93075;12306;40;12306;1003,11
12307;28,62;12307;92972;12307;40;12307;1003,11
12308;28,62;12308;93802;12308;40;12308;1003,09
12309;28,62;12309;93385;12309;40;12309;1003,09
12310;28,62;12310;93593;12310;40;12310;1003,11
12311;28,62;12311;93802;12311;40;12311;1003,11
12312;28,61;12312;93178;12312;40;12312;1003,11
12313;28,62;12313;93698;12313;40;12313;1003,11
12314;28,62;12314;93075;12314;40;12314;1003,11
12315;28,62;12315;93385;12315;40;12315;1003,09
12316;28,62;12316;93802;12316;40;12316;1003,11
12317;28,62;12317;93489;12317;40;12317;1003,11
12318;28,62;12318;93593;12318;40;12318;1003,09
12319;28,62;12319;94118;12319;40;12319;1003,11
12320;28,62;12320;93385;12320;40;12320;1003,09
12321;28,62;12321;94012;12321;40;12321;1003,09
12322;28,61;12322;93075;12322;40;12322;1003,11
12323;28,62;12323;92972;12323;40;12323;1003,11
12324;28,62;12324;93593;12324;40;12324;1003,11
12325;28,62;12325;92972;12325;40;12325;1003,09
12326;28,62;12326;93907;12326;40;12326;1003,11
12327;28,62;12327;94012;12327;40;12327;1003,09
12328;28,62;12328;93282;12328;40;12328;1003,11
12329;28,62;12329;92972;12329;40;12329;1003,09
12330;28,62;12330;93489;12330;40;12330;1003,11
12331;28,62;12331;93075;12331;40;12331;1003,09
12332;28,62;12332;93385;12332;40;12332;1003,11
12333;28,62;12333;93178;12333;40;12333;1003,11
12334;28,62;12334;93075;12334;40;12334;1003,11
12335;28,62;12335;93075;12335;40;12335;1003,11
12336;28,62;12336;93075;12336;40;12336;1003,11
12337;28,61;12337;93802;12337;40;12337;1003,09
12338;28,62;12338;93385;12338;40;12338;1003,11
12339;28,62;12339;93593;12339;40;12339;1003,11
12340;28,62;12340;93385;12340;40;12340;1003,11
12341;28,62;12341;93075;12341;40;12341;1003,11
12342;28,62;12342;93802;12342;40;12342;1003,11
12343;28,62;12343;93178;12343;40;12343;1003,11
12344;28,62;12344;93385;12344;40;12344;1003,09
12345;28,62;12345;94223;12345;40;12345;1003,09
12346;28,62;12346;93907;12346;40;12346;1003,11
12347;28,62;12347;93907;12347;40;12347;1003,09
12348;28,62;12348;93282;12348;40;12348;1003,11
12349;28,62;12349;93802;12349;40;12349;1003,09
12350;28,62;12350;93489;12350;40;12350;1003,11
12351;28,62;12351;94012;12351;40;12351;1003,11
12352;28,62;12352;94012;12352;40;12352;1003,09
12353;28,62;12353;93178;12353;40;12353;1003,11
12354;28,62;12354;93698;12354;40;12354;1003,11
12355;28,62;12355;93282;12355;40;12355;1003,11
12356;28,62;12356;93593;12356;40;12356;1003,11
12357;28,62;12357;93593;12357;40;12357;1003,11
12358;28,62;12358;93282;12358;40;12358;1003,11
12359;28,61;12359;93075;12359;40;12359;1003,11
12360;28,62;12360;93178;12360;40;12360;1003,11
12361;28,62;12361;93593;12361;40;12361;1003,13
12362;28,61;12362;93489;12362;40;12362;1003,11
12363;28,62;12363;93282;12363;40;12363;1003,11
12364;28,62;12364;93385;12364;40;12364;1003,11
12365;28,62;12365;93385;12365;40;12365;1003,11
12366;28,61;12366;93385;12366;40;12366;1003,11
12367;28,62;12367;93802;12367;40;12367;1003,11
12368;28,62;12368;93075;12368;40;12368;1003,13
12369;28,61;12369;92972;12369;40;12369;1003,13
12370;28,62;12370;93075;12370;40;12370;1003,13
